property_id,property_type,bhk,bathrooms,balcony,floor_number,total_floors,area_sqft,property_age,furnished_status,parking_availability,city,area,locality,pincode,hospital_distance_km,school_distance_km,metro_distance_km,mall_distance_km,airport_distance_km,population_density,crime_index,infrastructure_growth_score,price
2901,Apartment,3,3,1.0,26,34,1276,1,Semi Furnished,Yes,Mumbai,West,Bandra,674181,5.6,1.3,0.4,5.1,9.7,22052,30.0,67.7,49254000.0
2902,Villa,2,2,1.0,1,7,806,2,Fully Furnished,Yes,Ahmedabad,East,Maninagar,832083,0.9,1.9,1.1,4.9,47.2,7104,31.5,43.7,10630000.0
2903,Plot,3,3,2.0,8,25,1100,8,Unfurnished,Yes,Mumbai,West,Bandra,602967,3.6,0.6,1.3,0.7,2.6,19811,25.9,51.5,17148000.0
2904,Penthouse,3,4,2.0,29,37,1136,3,Fully Furnished,Yes,Bangalore,East,Electronic City,932335,0.3,3.9,12.1,10.5,13.5,4164,69.1,42.1,34583000.0
2905,Apartment,2,2,2.0,17,24,953,4,Semi Furnished,Yes,Chennai,North,Porur,965403,3.1,2.8,0.1,0.6,24.0,8942,40.0,52.0,11929000.0
2906,Independent House,2,2,1.0,2,6,937,7,Semi Furnished,No,Mumbai,South,Navi Mumbai,211713,2.1,2.3,,9.9,28.6,20249,70.2,41.8,26204000.0
2907,Apartment,2,2,1.0,2,4,812,9,Semi Furnished,No,Noida,West,Sector 18,605804,0.5,3.3,22.8,2.6,39.1,4478,69.8,61.7,5848000.0
2908,Plot,3,3,0.0,2,9,1337,5,Fully Furnished,No,Delhi,East,Rohini,957243,3.0,1.4,9.5,3.5,9.9,11916,59.0,26.5,11772000.0
2909,Independent House,2,2,0.0,8,13,868,7,Semi Furnished,No,Bangalore,East,HSR Layout,629213,7.0,2.3,3.6,2.4,23.7,2981,31.8,59.9,15661000.0
2910,Apartment,4,4,3.0,0,14,1544,11,Semi Furnished,No,Delhi,East,Dwarka,203909,1.9,3.7,4.9,4.0,23.7,12037,39.3,50.4,18972000.0
2911,Apartment,4,4,2.0,0,21,1351,1,Fully Furnished,Yes,Delhi,South,Dwarka,854589,0.5,0.2,0.2,0.2,21.5,10892,29.2,62.2,29250000.0
2912,Apartment,2,1,0.0,19,27,984,1,Fully Furnished,Yes,Mumbai,East,Andheri,944957,2.1,3.0,9.8,12.5,31.9,22639,26.3,40.9,27343000.0
2913,Independent House,4,5,3.0,4,7,1430,6,Fully Furnished,No,Kolkata,Central,Rajarhat,787226,5.9,3.5,4.0,1.9,21.0,25404,20.2,40.8,14326000.0
2914,Apartment,3,4,2.0,1,23,1081,22,Semi Furnished,Yes,Noida,Central,Sector 137,724550,3.2,3.0,0.4,10.1,20.7,5779,31.8,58.7,8297000.0
2915,Villa,2,1,2.0,9,26,947,0,Semi Furnished,No,Delhi,West,Dwarka,123378,2.0,0.1,2.7,5.7,2.1,10996,37.2,59.5,26665000.0
2916,Villa,3,3,2.0,12,16,1164,2,Semi Furnished,No,Pune,East,Viman Nagar,101143,2.0,0.1,2.0,1.5,34.3,5634,58.0,64.0,22219000.0
2917,Penthouse,3,3,1.0,10,20,1223,2,Fully Furnished,Yes,Kolkata,West,Rajarhat,746856,6.0,0.3,,0.9,11.0,25201,39.8,69.0,24109000.0
2918,Penthouse,2,2,1.0,26,30,837,1,Semi Furnished,Yes,Jaipur,West,Mansarovar,696866,1.9,1.0,0.1,2.8,35.3,5815,66.5,41.3,14696000.0
2919,Apartment,2,3,1.0,16,33,893,4,Unfurnished,Yes,Bangalore,South,Koramangala,311074,0.6,1.6,3.5,1.3,22.8,3640,0.0,41.1,12157000.0
2920,Independent House,1,1,2.0,11,17,714,6,Semi Furnished,Yes,Delhi,West,Rohini,157482,3.7,0.5,2.7,1.6,38.3,12943,50.2,44.0,14714000.0
2921,Independent House,2,2,2.0,0,11,753,6,Semi Furnished,Yes,Bangalore,East,Whitefield,609278,0.2,1.8,7.2,0.5,8.2,4576,44.5,53.8,10956000.0
2922,Plot,2,2,2.0,9,22,807,23,Unfurnished,Yes,Kolkata,East,New Town,554521,2.0,4.7,3.4,4.7,5.4,22287,61.3,25.9,2750000.0
2923,Apartment,3,3,1.0,8,20,1153,2,Semi Furnished,No,Ahmedabad,North,Maninagar,246964,0.2,0.4,0.6,10.5,58.9,5562,16.1,33.2,9689000.0
2924,Apartment,2,2,2.0,4,24,914,5,Semi Furnished,Yes,Delhi,West,Rohini,120591,2.5,3.5,1.8,17.6,16.2,10525,31.3,78.2,17402000.0
2925,Apartment,1,1,1.0,8,15,642,0,Semi Furnished,Yes,Bangalore,South,Electronic City,477843,2.6,0.1,6.0,9.5,51.8,6355,75.1,67.6,8393000.0
2926,Apartment,2,3,3.0,7,33,963,7,Semi Furnished,No,Jaipur,East,Malviya Nagar,844057,6.2,0.5,1.2,0.4,34.5,7480,24.0,,7632000.0
2927,Apartment,4,4,1.0,4,23,1391,12,Semi Furnished,Yes,Ahmedabad,West,SG Highway,677894,1.1,0.1,3.0,2.6,36.3,8013,5.8,42.7,8497000.0
2928,Apartment,3,2,2.0,6,23,1231,20,Fully Furnished,Yes,Noida,East,Sector 137,800571,0.9,4.1,0.3,1.2,34.8,4198,39.0,84.9,10740000.0
2929,Villa,3,3,1.0,7,10,1175,5,Semi Furnished,Yes,Kolkata,East,Howrah,685339,2.1,6.2,3.0,0.3,26.5,24441,44.1,63.3,15751000.0
2930,Apartment,3,3,1.0,16,20,1060,8,Fully Furnished,Yes,Bangalore,South,Koramangala,670587,5.2,2.6,7.6,1.9,28.8,3406,18.1,42.8,14990000.0
2931,Villa,3,3,2.0,22,37,1162,12,Fully Furnished,No,Chennai,North,Adyar,337923,0.8,4.8,3.2,13.7,25.0,6055,50.1,39.1,19572000.0
2932,Apartment,3,2,2.0,13,23,1143,13,Fully Furnished,Yes,Pune,Central,Baner,540712,2.6,1.3,1.6,0.3,49.8,4391,59.9,67.5,12610000.0
2933,Plot,2,2,1.0,2,5,846,2,Fully Furnished,Yes,Mumbai,South,Juhu,659995,1.5,2.9,,4.2,38.5,21853,69.5,39.6,16045000.0
2934,Penthouse,2,1,2.0,10,21,778,7,Fully Furnished,No,Chennai,South,Velachery,247221,1.4,4.3,5.9,0.3,39.7,6764,52.5,71.6,16840000.0
2935,Villa,2,2,1.0,6,8,805,19,Unfurnished,Yes,Kolkata,East,Howrah,187862,3.8,1.8,1.7,9.4,5.5,22057,21.1,54.4,7920000.0
2936,Plot,3,2,3.0,26,37,1082,19,Fully Furnished,Yes,Delhi,North,Pitampura,822518,2.0,1.7,4.1,7.6,50.4,10204,36.5,52.8,10959000.0
2937,Apartment,1,1,2.0,15,22,734,1,Fully Furnished,Yes,Ahmedabad,North,Prahlad Nagar,963932,0.5,3.7,2.4,0.4,2.1,5053,33.6,62.0,7213000.0
2938,Independent House,2,2,0.0,12,30,874,17,Semi Furnished,Yes,Chennai,Central,Porur,614961,2.3,1.1,0.6,11.3,19.0,7201,65.5,44.4,10286000.0
2939,Apartment,3,4,1.0,2,3,1247,19,Semi Furnished,No,Noida,North,Greater Noida,382917,1.2,6.1,1.6,6.6,20.3,5065,0.9,63.6,9785000.0
2940,Apartment,2,2,1.0,9,17,818,5,Unfurnished,Yes,Mumbai,West,Bandra,414333,0.8,0.7,6.2,5.0,16.2,22710,40.6,74.5,19370000.0
2941,Apartment,3,2,1.0,0,24,1093,1,Fully Furnished,No,Delhi,Central,Rohini,990312,0.6,0.1,,0.9,38.9,10088,26.2,62.1,20397000.0
2942,Villa,3,3,2.0,0,5,1105,0,Fully Furnished,Yes,Pune,Central,Hinjewadi,944300,0.5,0.2,2.0,4.6,8.6,6450,15.4,25.4,19603000.0
2943,Apartment,5,5,1.0,0,3,1626,1,Semi Furnished,Yes,Delhi,Central,Rohini,641089,0.8,2.2,0.3,3.6,22.1,9369,63.2,51.1,25405000.0
2944,Villa,5,5,1.0,37,37,1669,1,Fully Furnished,Yes,Kolkata,South,Behala,263575,1.6,1.9,0.3,1.5,31.6,25601,50.7,43.6,34165000.0
2945,Apartment,4,5,1.0,1,5,1450,1,Semi Furnished,Yes,Kolkata,Central,Salt Lake,900768,1.7,1.5,11.4,0.1,32.3,22872,26.8,69.4,11550000.0
2946,Plot,5,5,2.0,12,21,1750,25,Semi Furnished,Yes,Mumbai,North,Andheri,483322,1.6,3.5,2.0,9.4,9.5,20281,13.3,,23044000.0
2947,Villa,2,2,2.0,2,38,724,1,Unfurnished,No,Hyderabad,West,HITEC City,818983,6.7,3.2,0.7,1.3,19.7,2828,29.2,62.1,15335000.0
2948,Apartment,3,3,2.0,0,1,1311,5,Fully Furnished,No,Hyderabad,North,Madhapur,267247,4.9,4.0,2.7,10.4,9.9,4769,47.9,55.2,14620000.0
2949,Apartment,2,2,3.0,31,35,815,1,Fully Furnished,No,Bangalore,South,Koramangala,898038,4.9,2.5,1.2,6.3,24.2,3579,31.6,54.1,16447000.0
2950,Independent House,3,2,1.0,3,9,1158,0,Semi Furnished,Yes,Noida,Central,Sector 62,936218,0.8,5.7,1.1,0.8,6.6,4166,36.8,55.6,17038000.0
2951,Apartment,2,3,1.0,29,38,976,1,Semi Furnished,Yes,Ahmedabad,North,Maninagar,982397,1.5,1.5,,1.4,24.3,4566,13.3,64.0,11175000.0
2952,Apartment,2,2,3.0,17,20,951,8,Semi Furnished,Yes,Kolkata,Central,Rajarhat,803240,0.8,6.7,15.1,0.4,24.1,25724,16.4,52.5,8042000.0
2953,Villa,5,5,0.0,6,6,1739,1,Fully Furnished,Yes,Kolkata,South,Rajarhat,621898,3.8,8.7,6.9,0.8,20.5,24421,69.6,,19674000.0
2954,Apartment,2,3,2.0,7,21,981,1,Fully Furnished,Yes,Hyderabad,West,Gachibowli,377587,6.3,1.9,15.2,2.0,21.0,2040,,27.4,9561000.0
2955,Apartment,3,3,1.0,4,26,1183,0,Unfurnished,Yes,Noida,South,Sector 137,659200,2.3,0.7,4.6,0.7,22.7,4861,35.9,72.6,11661000.0
2956,Apartment,3,3,2.0,25,25,1210,1,Fully Furnished,Yes,Kolkata,North,Howrah,196411,6.1,0.2,0.1,1.6,23.6,22899,,37.7,13664000.0
2957,Apartment,2,2,1.0,4,30,800,0,Fully Furnished,Yes,Kolkata,South,Rajarhat,359826,6.9,0.6,13.9,13.5,19.7,24684,55.6,62.8,7050000.0
2958,Apartment,3,4,2.0,28,40,1093,1,Unfurnished,No,Jaipur,North,Malviya Nagar,375616,3.3,0.5,0.5,22.3,36.7,6841,0.0,43.6,9626000.0
2959,Apartment,2,2,2.0,0,14,822,17,Fully Furnished,No,Delhi,East,Rohini,255673,1.6,0.8,2.8,4.6,4.9,11113,30.0,56.1,11388000.0
2960,Apartment,4,3,1.0,2,25,1210,40,Semi Furnished,Yes,Ahmedabad,North,Bopal,365376,8.4,0.6,0.3,14.2,36.4,4785,27.9,48.1,7114000.0
2961,Apartment,5,5,2.0,2,3,1574,9,Semi Furnished,No,Delhi,Central,Vasant Kunj,925868,0.8,0.5,0.2,2.1,17.5,9548,17.5,63.4,28062000.0
2962,Penthouse,3,3,1.0,16,21,1067,5,Unfurnished,Yes,Bangalore,East,Koramangala,634053,1.0,3.8,2.4,0.8,26.1,4326,58.2,65.5,28696000.0
2963,Villa,4,5,1.0,31,39,1325,0,Unfurnished,No,Bangalore,West,Whitefield,450814,5.4,1.2,0.7,11.2,30.6,2724,18.4,68.6,42997000.0
2964,Independent House,2,2,0.0,5,18,953,11,Fully Furnished,Yes,Noida,Central,Greater Noida,434419,1.7,0.5,0.8,4.1,19.0,3554,44.4,57.1,11205000.0
2965,Apartment,3,3,,24,31,1088,1,Fully Furnished,Yes,Jaipur,North,Jagatpura,178030,0.7,1.1,1.4,13.7,15.5,5618,68.1,48.6,8728000.0
2966,Apartment,2,2,2.0,3,16,967,9,Unfurnished,Yes,Kolkata,East,Howrah,491492,1.5,0.1,1.6,3.1,25.7,24792,35.4,66.0,7752000.0
2967,Independent House,3,3,3.0,24,39,1024,27,Semi Furnished,Yes,Kolkata,Central,Behala,729116,0.4,5.6,6.7,6.9,15.2,25031,63.9,74.9,9001000.0
2968,Villa,2,2,2.0,6,16,847,12,Unfurnished,Yes,Chennai,West,Adyar,615353,0.6,1.2,0.4,5.1,24.8,9013,44.5,91.4,14577000.0
2969,Apartment,3,2,2.0,13,33,1118,6,Semi Furnished,Yes,Noida,South,Sector 62,783782,,0.8,6.8,4.4,23.3,4669,0.0,30.0,9582000.0
2970,Apartment,3,2,2.0,21,32,1244,1,Semi Furnished,Yes,Hyderabad,North,Jubilee Hills,909462,1.9,0.2,1.0,11.9,27.7,4436,42.4,55.8,18438000.0
2971,Apartment,2,2,3.0,2,7,904,38,Fully Furnished,No,Bangalore,East,Koramangala,795509,2.4,7.2,1.7,7.0,17.5,5722,,62.7,9858000.0
2972,Independent House,2,2,1.0,11,34,923,0,Semi Furnished,Yes,Delhi,South,Dwarka,295182,1.9,1.6,1.9,7.5,45.3,11620,49.4,61.9,22108000.0
2973,Apartment,1,1,2.0,2,29,562,9,Fully Furnished,Yes,Ahmedabad,South,Bopal,543251,1.5,0.5,0.5,1.9,34.4,4466,61.3,42.7,4171000.0
2974,Villa,4,4,1.0,0,7,1468,2,Semi Furnished,Yes,Kolkata,East,Rajarhat,788959,0.4,1.3,3.8,10.4,29.7,24075,38.6,34.1,16267000.0
2975,Independent House,2,3,2.0,8,10,895,0,Unfurnished,Yes,Bangalore,East,HSR Layout,322063,6.4,0.8,4.6,1.6,5.8,4738,33.1,46.2,13650000.0
2976,Penthouse,2,1,1.0,5,14,759,2,Semi Furnished,Yes,Mumbai,West,Worli,534206,0.6,2.3,0.7,4.7,19.1,20686,66.7,25.5,34493000.0
2977,Independent House,4,5,0.0,0,1,1456,7,Fully Furnished,Yes,Ahmedabad,East,Maninagar,708313,1.2,0.6,2.0,5.9,12.0,5235,60.9,47.7,13214000.0
2978,Apartment,2,3,0.0,21,24,923,17,Semi Furnished,Yes,Mumbai,East,Worli,214709,2.0,3.4,0.1,2.1,44.5,19503,77.4,55.6,21971000.0
2979,Independent House,3,3,3.0,10,28,1122,0,Unfurnished,No,Kolkata,South,Howrah,284505,1.2,5.2,1.8,10.9,17.2,23277,38.6,38.9,12003000.0
2980,Independent House,3,2,0.0,14,15,1122,11,Unfurnished,Yes,Noida,North,Sector 18,153294,8.1,1.6,0.9,10.2,54.0,7318,52.8,32.4,12900000.0
2981,Independent House,3,3,2.0,2,14,1064,5,Fully Furnished,No,Bangalore,South,Koramangala,357642,9.1,0.3,2.5,1.7,12.4,6280,62.1,49.9,16774000.0
2982,Independent House,3,4,3.0,1,30,1242,4,Unfurnished,Yes,Delhi,South,Dwarka,331116,5.1,0.6,6.4,1.6,28.1,12306,65.5,41.4,20128000.0
2983,Plot,2,3,1.0,7,13,958,9,Semi Furnished,No,Kolkata,South,Salt Lake,667744,2.7,0.3,16.1,28.4,22.4,22557,50.8,38.3,4331000.0
2984,Apartment,2,3,2.0,2,4,815,1,Fully Furnished,Yes,Ahmedabad,South,Bopal,447952,1.8,0.9,14.5,11.7,30.3,5868,25.5,37.9,5607000.0
2985,Apartment,3,4,1.0,8,22,1154,7,Fully Furnished,No,Chennai,North,Adyar,640225,3.7,0.4,4.1,1.7,5.4,8135,48.2,63.3,13079000.0
2986,Independent House,1,1,2.0,23,32,593,2,Unfurnished,Yes,Noida,North,Greater Noida,575654,2.7,0.7,0.6,8.3,37.7,5681,34.5,76.5,9674000.0
2987,Apartment,4,4,3.0,21,24,1297,7,Fully Furnished,Yes,Mumbai,Central,Juhu,966868,0.5,0.8,0.8,3.7,34.4,19006,32.9,64.7,39307000.0
2988,Apartment,2,2,0.0,19,29,1024,0,Fully Furnished,Yes,Hyderabad,Central,HITEC City,675535,0.9,2.7,0.1,3.4,6.8,2750,32.8,46.1,17322000.0
2989,Apartment,3,3,1.0,26,32,1121,19,Unfurnished,No,Kolkata,Central,Salt Lake,606419,3.2,1.2,4.2,4.4,39.7,25971,78.9,67.0,7001000.0
2990,Independent House,2,2,1.0,13,38,832,17,Semi Furnished,Yes,Jaipur,South,Jagatpura,431961,3.3,0.5,,8.0,4.3,4752,49.6,43.5,5613000.0
2991,Apartment,4,4,1.0,8,33,1304,19,Semi Furnished,Yes,Delhi,East,Pitampura,414462,3.1,0.5,8.6,4.9,36.9,10516,34.3,93.0,18154000.0
2992,Villa,3,2,2.0,16,18,1130,0,Fully Furnished,Yes,Ahmedabad,South,Bopal,751950,0.1,0.6,10.4,4.0,51.4,4562,47.1,48.3,14892000.0
2993,Apartment,3,2,3.0,1,12,980,1,Fully Furnished,No,Chennai,North,Porur,324270,0.4,0.1,2.4,4.7,34.9,8502,39.3,52.1,11609000.0
2994,Apartment,3,2,1.0,1,1,1137,16,Fully Furnished,Yes,Bangalore,East,Electronic City,223720,1.1,2.0,3.4,2.0,25.0,5354,63.3,64.1,12952000.0
2995,Apartment,3,3,0.0,7,16,1246,9,Semi Furnished,No,Mumbai,South,Navi Mumbai,535758,0.3,1.4,5.8,13.8,47.8,22673,41.6,37.7,22647000.0
2996,Apartment,3,3,1.0,0,9,1224,4,Fully Furnished,Yes,Jaipur,East,Vaishali Nagar,878975,0.3,1.6,5.2,11.1,10.3,5514,65.3,77.9,7535000.0
2997,Independent House,2,2,,9,27,938,2,Unfurnished,No,Mumbai,South,Juhu,904845,0.8,0.8,0.7,3.6,17.3,22156,13.1,26.4,33058000.0
2998,Plot,3,3,1.0,7,16,1342,13,Fully Furnished,No,Bangalore,North,Whitefield,102241,6.6,1.7,5.6,5.0,35.2,2813,70.3,21.1,8796000.0
2999,Independent House,2,3,1.0,0,33,920,12,Unfurnished,Yes,Delhi,East,Saket,191839,6.3,1.0,0.6,4.8,21.2,12228,84.5,41.7,14472000.0
3000,Apartment,1,1,2.0,7,40,577,2,Semi Furnished,No,Jaipur,West,Malviya Nagar,708006,15.1,0.7,3.1,3.2,26.5,8279,69.2,55.2,3902000.0
3001,Apartment,1,1,1.0,21,32,716,4,Semi Furnished,No,Pune,East,Wakad,571783,11.8,9.5,3.0,1.8,35.7,5892,59.7,31.7,7022000.0
3002,Apartment,2,2,1.0,23,31,910,6,Semi Furnished,Yes,Ahmedabad,South,SG Highway,794205,2.9,1.0,1.7,8.2,27.8,5304,43.1,52.5,7630000.0
3003,Apartment,2,2,1.0,2,19,903,0,Semi Furnished,No,Delhi,West,Dwarka,436218,1.5,1.3,2.6,5.7,4.7,10270,46.9,63.2,15149000.0
3004,Apartment,4,4,3.0,13,16,1423,23,Fully Furnished,No,Pune,North,Hinjewadi,473949,4.4,0.2,0.6,0.3,24.9,7454,73.0,56.3,13499000.0
3005,Independent House,3,3,1.0,0,4,1118,10,Fully Furnished,Yes,Chennai,South,Nungambakkam,866865,3.6,3.6,1.1,7.8,33.8,7690,36.6,51.9,16427000.0
3006,Apartment,5,5,1.0,5,25,1799,7,Semi Furnished,Yes,Ahmedabad,North,Bopal,150913,8.7,2.2,2.0,2.3,26.2,5846,51.3,32.5,12322000.0
3007,Apartment,2,2,2.0,9,13,769,13,Fully Furnished,Yes,Jaipur,North,Jagatpura,958376,1.1,5.8,1.1,1.0,41.4,8092,49.6,30.1,4840000.0
3008,Plot,3,4,0.0,2,20,1215,1,Fully Furnished,Yes,Mumbai,East,Bandra,891108,9.4,1.8,1.6,8.3,1.4,21824,41.2,51.4,23535000.0
3009,Apartment,3,3,2.0,21,21,1160,7,Semi Furnished,No,Pune,West,Kothrud,419418,2.2,1.2,0.4,3.3,37.6,5526,26.6,58.1,16107000.0
3010,Penthouse,3,3,1.0,3,22,1186,0,Semi Furnished,No,Mumbai,Central,Juhu,987418,0.1,0.8,2.0,7.5,14.8,20537,48.9,49.7,64015000.0
3011,Penthouse,3,2,1.0,2,16,1119,1,Semi Furnished,Yes,Chennai,North,Anna Nagar,624876,2.9,0.1,15.0,0.3,20.0,5470,0.4,53.5,23404000.0
3012,Apartment,3,2,1.0,13,16,1271,2,Semi Furnished,Yes,Delhi,West,Dwarka,147778,1.7,0.1,1.2,0.8,20.5,9784,,64.1,26178000.0
3013,Apartment,3,3,3.0,3,4,1220,5,Unfurnished,Yes,Bangalore,West,Koramangala,660515,2.6,0.9,14.8,5.8,10.2,3708,36.8,47.4,14314000.0
3014,Independent House,4,4,2.0,2,15,1338,1,Semi Furnished,No,Bangalore,Central,Indiranagar,344517,5.1,0.9,3.4,0.1,10.1,2999,38.0,83.1,24778000.0
3015,Apartment,3,3,3.0,7,32,1239,7,Fully Furnished,Yes,Pune,Central,Kothrud,227379,1.0,1.6,3.2,5.4,9.5,7602,50.1,53.0,11642000.0
3016,Apartment,5,5,3.0,6,14,1674,0,Fully Furnished,Yes,Bangalore,South,Koramangala,368909,9.7,0.1,2.3,1.7,15.6,4951,45.6,82.4,29176000.0
3017,Independent House,5,5,2.0,16,18,1603,2,Semi Furnished,Yes,Kolkata,North,Howrah,184345,0.9,0.8,0.1,4.6,17.6,25794,19.8,50.4,21507000.0
3018,Apartment,3,2,1.0,13,19,1014,9,Fully Furnished,Yes,Bangalore,Central,Electronic City,505083,3.4,0.4,3.0,3.1,11.1,5061,46.6,63.1,13817000.0
3019,Apartment,1,1,2.0,12,31,711,8,Semi Furnished,Yes,Mumbai,Central,Navi Mumbai,817158,1.0,1.4,6.3,22.3,17.5,20223,62.1,43.9,14101000.0
3020,Villa,1,2,1.0,4,15,592,16,Semi Furnished,Yes,Ahmedabad,East,SG Highway,808791,0.3,0.1,5.6,0.1,32.0,6353,72.4,44.5,4294000.0
3021,Independent House,2,2,1.0,3,7,942,6,Unfurnished,No,Delhi,North,Vasant Kunj,470588,0.1,0.1,2.2,13.2,14.5,12860,36.7,57.0,19054000.0
3022,Apartment,1,1,3.0,1,2,766,14,Unfurnished,Yes,Bangalore,South,Electronic City,964029,0.4,1.5,3.7,7.9,27.4,4738,68.0,41.1,6328000.0
3023,Apartment,2,2,1.0,1,31,835,13,Fully Furnished,Yes,Kolkata,West,Salt Lake,612550,3.8,0.6,0.8,0.9,5.9,24099,31.8,39.6,6595000.0
3024,Apartment,1,1,1.0,9,19,757,4,Semi Furnished,No,Bangalore,North,Koramangala,554206,5.6,7.7,0.8,20.0,15.2,6234,43.7,60.3,12732000.0
3025,Apartment,3,4,3.0,6,18,1058,13,Semi Furnished,Yes,Mumbai,Central,Juhu,118414,2.1,0.1,2.8,6.2,39.5,21495,36.6,20.7,20823000.0
3026,Independent House,2,2,2.0,7,13,1018,8,Fully Furnished,Yes,Bangalore,North,Koramangala,772343,5.5,2.2,,5.2,33.3,6222,61.5,61.8,18608000.0
3027,Independent House,3,3,0.0,1,3,1295,1,Fully Furnished,Yes,Noida,East,Greater Noida,269501,,5.4,2.0,6.7,30.4,4932,36.0,47.9,18552000.0
3028,Villa,2,2,1.0,21,30,971,6,Unfurnished,Yes,Pune,Central,Baner,660289,1.0,2.3,0.8,1.2,32.1,5277,48.5,53.8,17547000.0
3029,Apartment,4,4,2.0,10,32,1435,3,Unfurnished,No,Pune,West,Kothrud,854831,1.4,2.3,6.5,12.7,31.4,6111,69.4,47.3,11825000.0
3030,Apartment,4,4,2.0,35,38,1471,2,Semi Furnished,No,Pune,South,Hinjewadi,725576,5.6,1.3,1.2,1.7,23.9,6177,71.5,68.1,19515000.0
3031,Apartment,3,3,2.0,1,18,1123,6,Unfurnished,Yes,Delhi,East,Vasant Kunj,172470,6.7,0.1,4.5,4.3,25.7,9351,39.4,54.4,15709000.0
3032,Apartment,4,4,1.0,3,7,1293,4,Semi Furnished,No,Bangalore,East,Electronic City,207080,1.0,0.4,2.6,4.7,28.3,5627,53.7,74.0,18475000.0
3033,Apartment,2,2,1.0,10,17,840,33,Semi Furnished,Yes,Kolkata,East,New Town,559952,22.2,0.3,5.1,3.0,10.1,23227,79.6,47.1,4023000.0
3034,Apartment,4,4,2.0,0,16,1583,25,Unfurnished,Yes,Mumbai,South,Thane,271247,0.4,0.1,6.5,2.4,23.7,19177,56.5,60.1,22735000.0
3035,Apartment,3,2,3.0,10,22,1056,7,Fully Furnished,Yes,Delhi,Central,Vasant Kunj,577226,5.5,5.6,0.9,4.6,22.2,12447,49.6,83.9,20639000.0
3036,Independent House,2,1,1.0,1,8,976,1,Semi Furnished,Yes,Delhi,East,Vasant Kunj,523448,1.8,0.8,6.8,1.6,13.8,11966,48.2,45.1,18163000.0
3037,Independent House,2,1,1.0,5,15,891,6,Semi Furnished,No,Bangalore,East,Indiranagar,724431,12.5,3.0,2.8,1.3,43.9,4124,36.1,49.0,16147000.0
3038,Villa,2,2,2.0,6,38,871,1,Fully Furnished,No,Noida,South,Sector 62,117901,10.2,3.2,2.0,0.8,4.0,4843,66.1,58.2,15073000.0
3039,Apartment,4,3,0.0,18,34,1535,10,Semi Furnished,Yes,Mumbai,North,Juhu,896681,1.4,2.9,3.7,2.8,17.5,19089,50.4,50.9,33652000.0
3040,Plot,3,3,2.0,2,5,1157,24,Semi Furnished,Yes,Hyderabad,South,Madhapur,869933,1.7,3.3,8.0,9.7,48.2,1301,41.1,45.7,5603000.0
3041,Penthouse,2,2,1.0,2,2,974,1,Fully Furnished,No,Delhi,West,Pitampura,965014,3.7,1.3,1.3,1.8,10.0,9717,32.4,58.4,40058000.0
3042,Apartment,3,3,2.0,17,24,1341,4,Semi Furnished,Yes,Noida,West,Sector 18,292380,4.7,0.7,1.1,6.5,27.0,6173,43.0,48.8,14247000.0
3043,Independent House,2,2,2.0,5,35,883,2,Semi Furnished,Yes,Mumbai,Central,Thane,619325,3.2,0.2,0.3,8.5,49.6,22626,20.0,85.1,38805000.0
3044,Independent House,2,2,1.0,21,22,937,0,Unfurnished,Yes,Bangalore,West,Koramangala,356196,0.5,3.8,0.3,3.6,6.7,3259,59.4,64.6,22356000.0
3045,Apartment,4,4,2.0,6,14,1456,24,Unfurnished,Yes,Kolkata,East,Rajarhat,714383,3.3,0.9,5.1,1.7,28.8,22258,39.5,67.4,7692000.0
3046,Apartment,3,3,1.0,24,40,1124,6,Fully Furnished,Yes,Kolkata,South,Rajarhat,874863,1.4,0.2,6.0,6.1,19.2,24525,41.1,65.1,9875000.0
3047,Apartment,2,2,1.0,1,1,939,10,Semi Furnished,No,Bangalore,West,Whitefield,557398,0.6,7.0,5.7,14.7,21.9,4363,65.8,78.0,10173000.0
3048,Apartment,5,4,1.0,1,4,1740,33,Semi Furnished,Yes,Bangalore,East,Electronic City,851166,0.5,0.5,1.0,0.3,18.8,3515,79.3,78.1,17171000.0
3049,Apartment,3,3,3.0,0,2,1212,1,Unfurnished,Yes,Bangalore,Central,HSR Layout,535369,0.9,1.0,1.1,16.0,29.7,5227,25.6,56.0,18522000.0
3050,Plot,2,1,3.0,1,4,909,0,Fully Furnished,Yes,Delhi,South,Pitampura,303916,0.4,0.1,0.5,0.2,19.2,11090,75.2,39.9,11375000.0
3051,Independent House,2,2,1.0,6,21,669,6,Semi Furnished,Yes,Delhi,South,Vasant Kunj,260695,0.8,3.1,9.2,1.0,14.7,11208,43.9,39.3,12355000.0
3052,Apartment,3,3,1.0,1,12,1034,8,Fully Furnished,Yes,Hyderabad,North,Jubilee Hills,489085,0.9,3.0,4.2,1.1,39.3,1805,55.4,54.7,10867000.0
3053,Villa,3,3,1.0,26,39,1296,2,Fully Furnished,Yes,Delhi,Central,Pitampura,308477,1.6,2.2,1.8,10.2,27.3,12026,17.0,69.0,49450000.0
3054,Villa,1,1,2.0,7,32,573,5,Semi Furnished,No,Delhi,West,Pitampura,115006,1.0,0.2,8.0,1.9,28.1,11073,60.0,53.9,13161000.0
3055,Apartment,3,3,3.0,6,9,1243,1,Unfurnished,Yes,Pune,Central,Wakad,482002,3.4,0.3,1.8,1.0,12.1,7456,33.8,63.6,13868000.0
